col1,col2
50,0.001750
51,0.001910
52,0.002084
53,0.002272
54,0.002476
55,0.002697
56,0.002935
57,0.003193
58,0.003471
59,0.003772
60,0.004097
61,0.004448
62,0.004827
63,0.005236
64,0.005678
65,0.006155
66,0.006670
67,0.007227
68,0.007828
69,0.008478
70,0.009180
71,0.009939
72,0.010761
73,0.011653
74,0.012913
75,0.014614
76,0.016617
77,0.018970
78,0.021728
79,0.024952
80,0.028711
81,0.033083
82,0.038153
83,0.044016
84,0.050776
85,0.058546
86,0.067447
87,0.077611
88,0.089172
89,0.102274
90,0.117061
91,0.133677
92,0.152262
93,0.172948
94,0.195849
95,0.221061
96,0.248647
97,0.278633
98,0.311000
99,0.345673
100,0.374418
101,0.395216
102,0.415057
103,0.433979
104,0.452018
105,0.469207
106,0.485576
107,0.501153
108,0.515964
109,0.530030
110,0.543369
111,0.555998
112,0.567925
113,0.579155
114,0.589684
115,0.599495
116,0.608555
117,0.616795
118,0.624076
119,0.629994
120,1.000000
